#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110011111100	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605742	-6.408650820290347
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111110110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605742	-6.408650820290347
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111011111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605742	-6.408650820290347
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111101111111011111111111111111111111111111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055478	-6.408650820287377
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111101111111111111110111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.172379664860553	-6.408650820287107
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.172379664860553	-6.408650820287107
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605742	-6.408650820290347
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111101111111111111110111111111111111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.172379664860553	-6.408650820287107
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605742	-6.408650820290347
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000001000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605742	-6.408650820290347
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.172379664860553	-6.408650820287107
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605742	-6.408650820290347
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111100	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605742	-6.408650820290347
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111011111110111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.172379664860553	-6.408650820287107
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111011110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.172379664860553	-6.408650820287107
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605599	-6.408650820288159
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000010000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605599	-6.408650820288159
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111110111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605599	-6.408650820288159
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111110111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605599	-6.408650820288159
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000001000000000000000100000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605599	-6.408650820288159
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111101110111111111111111111111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605599	-6.408650820288159
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111110111111101111111111111111111111111111111111111111111111111111111011111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605599	-6.408650820288159
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111101111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605599	-6.408650820288159
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011101111111111101110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605599	-6.408650820288159
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000010000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605599	-6.408650820288159
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605599	-6.408650820288159
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111011111111111111101111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605599	-6.408650820288159
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111011110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605599	-6.408650820288159
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1723796648605599	-6.408650820288159
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111011111111111111101111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055023	-6.408650820286667
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111001111111111111100	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055023	-6.408650820286667
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055023	-6.408650820286667
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055023	-6.408650820286667
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111011111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055023	-6.408650820286667
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055023	-6.408650820286667
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055023	-6.408650820286667
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055023	-6.408650820286667
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111101111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055023	-6.408650820286667
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16393341865777267	-5.119126363474493
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101011111111111111111111111111111010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055023	-6.408650820286667
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055023	-6.408650820286667
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111001111111111111111111111111111111111111111111111111111111111111100	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055023	-6.408650820286667
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111001111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055023	-6.408650820286667
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055023	-6.408650820286667
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101011111010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16393341865778444	-5.119126363476269
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1639334186578114	-5.119126363480376
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.16393341865777022	-5.119126363474123
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111010111111111111111111111111111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055478	-6.408650820287377
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111110110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055478	-6.408650820287377
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101011110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055478	-6.408650820287377
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111101111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17237966486055478	-6.408650820287377
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101001110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1791634848215774	-7.453931439489423
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111001111110010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670083358	-6.471109148570534
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110110010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670083358	-6.471109148570534
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111111101110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670073832	-6.471109148555911
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101110111111100	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670073832	-6.471109148555911
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111110101111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670078884	-6.47110914856367
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011001111111111111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670073832	-6.471109148555911
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101110111010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670073832	-6.471109148555911
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111001111111010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670078884	-6.47110914856367
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101110111111111111111010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1727865867008036	-6.471109148565944
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111110111111111111111111111111111111100	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670073832	-6.471109148555911
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100111111111111111011111110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670078884	-6.47110914856367
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011101110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670078884	-6.47110914856367
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.1727865867007382	-6.471109148555897
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111110010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670072888	-6.471109148554461
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	00000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670072888	-6.471109148554461
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100111010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670073832	-6.471109148555911
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111110111111111111111010	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670073832	-6.471109148555911
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110001110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670075064	-6.471109148557801
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111110100	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670073832	-6.471109148555911
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111011100	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670073832	-6.471109148555911
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110011111111111111111111111111111100	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670073832	-6.471109148555911
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
boolean	21.0	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111001110	fc	127	0.0	0.0	2	100.0	0.0	True	none	00	False	False	0	0.17278658670077462	-6.471109148561482
#dataset	boolfun_comp	boolfun	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound	logP
